Time,FPR
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.005
21,0.005
22,0.005
23,0.0
24,0.0
25,0.0
26,0.005
27,0.0
28,0.005025125628140704
29,0.0
30,0.0
31,0.0
32,0.005050505050505051
33,0.01
34,0.01
35,0.02
36,0.010050251256281407
37,0.01
38,0.02
39,0.0
40,0.02
41,0.010050251256281407
42,0.005
43,0.02
44,0.02030456852791878
45,0.005
46,0.010101010101010102
47,0.03535353535353535
48,0.01015228426395939
49,0.035175879396984924
